gen,best_obj1,best_obj2,mean_obj1,mean_obj2,nd_count
1,1.1828540024848788,456400,4.6955668115536886,1455206.0483870967,13
2,1.1828540024848788,456400,4.1636171313431891,1329931.6333333333,13
3,1.1828540024848788,456400,3.9647031542598592,1190780.0158730159,13
4,1.1828540024848788,264300,3.7522092387541748,1013791.3559322034,15
5,1.1828540024848788,192400,4.0251046515933515,900766.83333333337,24
6,1.1828540024848788,192400,4.1415482990370931,765273.63636363635,14
7,0.46320400349764568,192400,3.3667874545998058,852043.65079365077,18
8,0.46320400349764568,192400,2.7542774634078357,838665.31666666665,26
9,0.15208031957232157,192400,3.02515623993835,663267.578125,42
10,0.15208031957232157,180400,3.0811688543589675,645193.220338983,40
11,0.15208031957232157,180400,3.8641332468421399,578681.75,35
12,0.15208031957232157,180400,3.7957956079359207,487102.58730158728,50
13,0.15208031957232157,180400,2.918811612371631,629681.79310344823,42
14,0.15208031957232157,180400,3.2476229187146184,578851.13114754099,48
15,5.1554202363743412e-05,180400,2.6111312391739001,626728.8666666667,44
