mode,algorithm,nd_count,hv,gd,igd
all_random,MOGABKA,93,0.93467796290311989,1069.3341602635765,3900.0000000149071
all_random,NSGA2,51,0.82720951842719292,58000.300679656379,4579825.0000132276
all_random,NSGA3,48,0.84280401649104275,38560.893402953821,4803400.0000315858
all_random,MOEAD,23,0.77145682564604845,31740.097672532615,7310825.0000831857
all_shared_seeded_init,MOGABKA,88,0.80255561594007652,2271.5087642819253,101458.82352959682
all_shared_seeded_init,NSGA2,49,0.77304108964505391,19598.386666422106,328329.41827250493
all_shared_seeded_init,NSGA3,44,0.73436568169289562,14351.053176940972,880258.84863064426
all_shared_seeded_init,MOEAD,22,0.7256085650313796,19661.499101451336,1031835.2950242109
mobka_only_seeded,MOGABKA,92,0.92796709079801609,0,0
mobka_only_seeded,NSGA2,43,0.8232279667014436,37767.162336105168,5367939.1306195753
mobka_only_seeded,NSGA3,36,0.81410841486009966,44334.085208378288,5952886.9768669
mobka_only_seeded,MOEAD,13,0.77567462356027717,75701.312802005705,7816200.0001054211
