"seed","mode","algorithm","nd_count","hv","gd","igd"
"40","all_random","MOGABKA","92","0.87053733070118833","0","0"
"40","all_random","NSGA2","46","0.70119889434711391","26873.718549390927","4510095.6521974476"
"40","all_random","NSGA3","34","0.70682750442372222","37309.73879623894","4575078.2729632901"
"40","all_random","MOEAD","18","0.67258351560854457","37412.059853815634","5799939.1304462859"
"40","all_shared_seeded_init","MOGABKA","90","0.80413417144902699","0","0"
"40","all_shared_seeded_init","NSGA2","44","0.68719411536604258","40958.261359835247","2620373.3333743587"
"40","all_shared_seeded_init","NSGA3","33","0.67511833458029069","33844.603561362412","2970053.3606214575"
"40","all_shared_seeded_init","MOEAD","17","0.60362042885324263","69874.794603720205","4888160.0000292873"
"40","mobka_only_seeded","MOGABKA","91","0.96479412892839789","10628.833198452963","99759.292039723558"
"40","mobka_only_seeded","NSGA2","52","0.9035622997158731","27636.443661606216","5079355.7572594648"
"40","mobka_only_seeded","NSGA3","38","0.8638243153896088","25473.388428238322","4876651.3280486474"
"40","mobka_only_seeded","MOEAD","19","0.80138023536813963","38730.571577129842","6211306.195084664"
"41","all_random","MOGABKA","93","0.94678073624576686","6017.442561842372","43176.002646119145"
"41","all_random","NSGA2","51","0.89286315194499521","13025.691940186485","3017952.0014256658"
"41","all_random","NSGA3","40","0.88881422772773866","36255.691967199731","2931984.0013282476"
"41","all_random","MOEAD","17","0.84574447056766733","29270.890870195035","4280184.0008295504"
"41","all_shared_seeded_init","MOGABKA","90","0.9119374168469907","826.66666666721846","39134.693877581361"
"41","all_shared_seeded_init","NSGA2","50","0.82955245415792134","30367.730241396028","3756122.4490280454"
"41","all_shared_seeded_init","NSGA3","46","0.82199999123918799","36656.694755414574","4015738.7756170034"
"41","all_shared_seeded_init","MOEAD","13","0.7694789491154097","89666.458870591276","7505681.6490931883"
"41","mobka_only_seeded","MOGABKA","96","0.9527696475553652","5277.9020453317917","7951.5151519797737"
"41","mobka_only_seeded","NSGA2","54","0.88576414425958538","24066.20498225656","3140096.9784445968"
"41","mobka_only_seeded","NSGA3","41","0.89453352439995037","26726.294627629886","3958084.8490322605"
"41","mobka_only_seeded","MOEAD","19","0.82775123248690785","54092.957849618098","5620242.4245157493"
"42","all_random","MOGABKA","93","0.90994453642917628","0","0"
"42","all_random","NSGA2","52","0.72092213661238491","43401.428821213733","4077341.9354919367"
"42","all_random","NSGA3","39","0.71199044790730992","34374.064808745548","3946038.7096940684"
"42","all_random","MOEAD","25","0.65106906635048556","60556.446925544202","5616180.6451801844"
"42","all_shared_seeded_init","MOGABKA","95","0.90321045384733412","520.81334221081386","1550.000000009295"
"42","all_shared_seeded_init","NSGA2","50","0.86011713682857394","29508.563665911966","1766950.0004615963"
"42","all_shared_seeded_init","NSGA3","38","0.83638832998831358","37610.566088394007","2066750.0000208735"
"42","all_shared_seeded_init","MOEAD","28","0.83311108804132394","23582.179375088523","2304675.0000738432"
"42","mobka_only_seeded","MOGABKA","93","0.96071215085677042","8699.7984595708531","61488.888889653979"
"42","mobka_only_seeded","NSGA2","54","0.89120128598505599","13307.753240084237","2495644.444638249"
"42","mobka_only_seeded","NSGA3","41","0.83633828722687242","45452.367547369693","3196288.8890005448"
"42","mobka_only_seeded","MOEAD","31","0.84599007769460333","37160.161277288615","4231422.2501170468"
"43","all_random","MOGABKA","83","0.65245914920510828","0","0"
"43","all_random","NSGA2","38","0.52872128743115265","33294.755228333735","965002.41031295725"
"43","all_random","NSGA3","39","0.56222874849302418","48008.519954702744","806081.92775365035"
"43","all_random","MOEAD","13","0.42521920069266517","88372.166232045332","3208886.7470207252"
"43","all_shared_seeded_init","MOGABKA","90","0.91068276868416687","14865.656169015858","67200.000000383254"
"43","all_shared_seeded_init","NSGA2","48","0.89081320465601066","12876.820304972769","2424533.3493274939"
"43","all_shared_seeded_init","NSGA3","35","0.88623873693165733","31365.713768510181","2675854.5461663883"
"43","all_shared_seeded_init","MOEAD","33","0.86203318564297005","34822.164507288217","3480896.9699547002"
"43","mobka_only_seeded","MOGABKA","89","0.92745901910846329","10282.434956543968","145980.58253250466"
"43","mobka_only_seeded","NSGA2","51","0.85981823345768016","4145.9865114816157","2876714.5631221635"
"43","mobka_only_seeded","NSGA3","37","0.83978985965524544","20704.088585396999","3335930.0990235088"
"43","mobka_only_seeded","MOEAD","12","0.77537649283084442","36198.342509700378","5795021.3592389962"
"44","all_random","MOGABKA","93","0.93467796290311989","1069.3341602635765","3900.0000000149071"
"44","all_random","NSGA2","51","0.82720951842719292","58000.300679656379","4579825.0000132276"
"44","all_random","NSGA3","48","0.84280401649104275","38560.893402953821","4803400.0000315858"
"44","all_random","MOEAD","23","0.77145682564604845","31740.097672532615","7310825.0000831857"
"44","all_shared_seeded_init","MOGABKA","88","0.80255561594007652","2271.5087642819253","101458.82352959682"
"44","all_shared_seeded_init","NSGA2","49","0.77304108964505391","19598.386666422106","328329.41827250493"
"44","all_shared_seeded_init","NSGA3","44","0.73436568169289562","14351.053176940972","880258.84863064426"
"44","all_shared_seeded_init","MOEAD","22","0.7256085650313796","19661.499101451336","1031835.2950242109"
"44","mobka_only_seeded","MOGABKA","92","0.92796709079801609","0","0"
"44","mobka_only_seeded","NSGA2","43","0.8232279667014436","37767.162336105168","5367939.1306195753"
"44","mobka_only_seeded","NSGA3","36","0.81410841486009966","44334.085208378288","5952886.9768669"
"44","mobka_only_seeded","MOEAD","13","0.77567462356027717","75701.312802005705","7816200.0001054211"
