"mode","algorithm","runs","hv_mean","hv_std","nd_mean","nd_std","gd_mean","gd_std","igd_mean","igd_std"
"all_random","MOEAD","5","0.673214615773082","0.14241533073635","19.2","4.3081318457076","49470.3323108266","22378.7185029649","5243203.10471199","1399283.84453443"
"all_random","MOGABKA","5","0.862879943096872","0.108392731095411","90.8","3.91918358845308","1417.35534442119","2337.03271990711","9415.20052922681","16947.8446976012"
"all_random","NSGA2","5","0.734182997752568","0.124347610195935","47.6","5.23832034148352","34919.1790437563","15174.8456473934","3430043.39988825","1353052.28212896"
"all_random","NSGA3","5","0.742532989008568","0.115038973698355","40","4.51663591625449","38901.7817859682","4755.74385768467","3412516.58235417","1455689.8980575"
"all_shared_seeded_init","MOEAD","5","0.758770443336865","0.0910775874369505","22.6","7.22772439983706","47521.4192916279","27518.7615339712","3842249.78283505","2231940.98857491"
"all_shared_seeded_init","MOGABKA","5","0.866504085353519","0.05165794045489","90.6","2.33238075793812","3696.92898843516","5634.9922801926","41868.7034815141","38932.551883581"
"all_shared_seeded_init","NSGA2","5","0.808143600130721","0.0719094085182827","48.2","2.22710574513201","26661.9524477076","9655.50892220591","2179261.7100928","1125804.48799998"
"all_shared_seeded_init","NSGA3","5","0.790822214886469","0.0757988988325267","39.2","5.03587132480567","30765.7262701244","8495.13160535199","2521731.10621127","1035204.7888397"
"mobka_only_seeded","MOEAD","5","0.805234532388155","0.0281004007024811","18.8","6.76461381011511","48376.6692031485","15142.5294730321","5934838.44581238","1152050.51316601"
"mobka_only_seeded","MOGABKA","5","0.946740407449403","0.0160106687167348","92.2","2.31516738055805","6977.79373197991","3969.76775650846","63036.0557227724","55206.2229634854"
"mobka_only_seeded","NSGA2","5","0.872714786023928","0.0285617642553826","50.8","4.06939798987516","21384.7101463068","11636.753427614","3791950.17481681","1190305.14433445"
"mobka_only_seeded","NSGA3","5","0.849718880306355","0.0273972502111847","38.6","2.0591260281974","32538.0448794026","10292.2750715824","4263968.42839437","1031754.39932654"
