sample_idx,algorithm_a,algorithm_b,coverage
1021,IMOGABKA-seed,IMOGABKA-seed,1.0
1021,IMOGABKA-seed,MOBKA,1.0
1021,IMOGABKA-seed,NSGA2,0.08620689655172414
1021,IMOGABKA-seed,NSGA3,0.0
1021,IMOGABKA-seed,MOEAD,0.0
1021,MOBKA,IMOGABKA-seed,0.0
1021,MOBKA,MOBKA,1.0
1021,MOBKA,NSGA2,0.0
1021,MOBKA,NSGA3,0.0
1021,MOBKA,MOEAD,0.0
1021,NSGA2,IMOGABKA-seed,0.011111111111111112
1021,NSGA2,MOBKA,0.0
1021,NSGA2,NSGA2,1.0
1021,NSGA2,NSGA3,0.6122448979591837
1021,NSGA2,MOEAD,1.0
1021,NSGA3,IMOGABKA-seed,0.03333333333333333
1021,NSGA3,MOBKA,0.16666666666666666
1021,NSGA3,NSGA2,0.20689655172413793
1021,NSGA3,NSGA3,1.0
1021,NSGA3,MOEAD,0.6363636363636364
1021,MOEAD,IMOGABKA-seed,0.0
1021,MOEAD,MOBKA,0.0
1021,MOEAD,NSGA2,0.0
1021,MOEAD,NSGA3,0.02040816326530612
1021,MOEAD,MOEAD,1.0
1022,IMOGABKA-seed,IMOGABKA-seed,1.0
1022,IMOGABKA-seed,MOBKA,1.0
1022,IMOGABKA-seed,NSGA2,0.11538461538461539
1022,IMOGABKA-seed,NSGA3,0.19148936170212766
1022,IMOGABKA-seed,MOEAD,0.2777777777777778
1022,MOBKA,IMOGABKA-seed,0.0
1022,MOBKA,MOBKA,1.0
1022,MOBKA,NSGA2,0.0
1022,MOBKA,NSGA3,0.0
1022,MOBKA,MOEAD,0.0
1022,NSGA2,IMOGABKA-seed,0.16483516483516483
1022,NSGA2,MOBKA,0.1111111111111111
1022,NSGA2,NSGA2,1.0
1022,NSGA2,NSGA3,0.44680851063829785
1022,NSGA2,MOEAD,0.9444444444444444
1022,NSGA3,IMOGABKA-seed,0.15384615384615385
1022,NSGA3,MOBKA,0.1111111111111111
