algorithm_a,algorithm_b,coverage_mean,coverage_median,coverage_std,runs
IMOGABKA-seed,IMOGABKA-seed,1.0,1.0,0.0,9
IMOGABKA-seed,MOBKA,1.0,1.0,0.0,9
IMOGABKA-seed,MOEAD,0.36435185185185187,0.4,0.2539601890184956,9
IMOGABKA-seed,NSGA2,0.21211318266569654,0.17543859649122806,0.14879960698265748,9
IMOGABKA-seed,NSGA3,0.2741740855018422,0.25,0.17130792041185042,9
MOBKA,IMOGABKA-seed,0.0,0.0,0.0,9
MOBKA,MOBKA,1.0,1.0,0.0,9
MOBKA,MOEAD,0.0,0.0,0.0,9
MOBKA,NSGA2,0.0,0.0,0.0,9
MOBKA,NSGA3,0.0,0.0,0.0,9
MOEAD,IMOGABKA-seed,0.07468079620071938,0.06593406593406594,0.050670347299057956,9
MOEAD,MOBKA,0.024691358024691357,0.0,0.04619330107128323,9
MOEAD,MOEAD,1.0,1.0,0.0,9
MOEAD,NSGA2,0.002136752136752137,0.0,0.006043647702449125,9
MOEAD,NSGA3,0.005116576545147974,0.0,0.009651373672556779,9
NSGA2,IMOGABKA-seed,0.18151069005935633,0.17391304347826086,0.09365330935657307,9
NSGA2,MOBKA,0.05824915824915825,0.0,0.07412915001762983,9
NSGA2,MOEAD,0.9938271604938271,1.0,0.017459426695964144,9
NSGA2,NSGA2,1.0,1.0,0.0,9
NSGA2,NSGA3,0.5063947821676309,0.5384615384615384,0.2466947367148685,9
NSGA3,IMOGABKA-seed,0.1455166967048625,0.14583333333333334,0.0696829922160746,9
NSGA3,MOBKA,0.10370370370370369,0.1111111111111111,0.08046504067555715,9
NSGA3,MOEAD,0.8668490460157127,0.9166666666666666,0.14310911905744914,9
NSGA3,NSGA2,0.2801498195607795,0.20689655172413793,0.2188239822914752,9
NSGA3,NSGA3,1.0,1.0,0.0,9
