sample_idx,algorithm_a,algorithm_b,coverage
1286,IMOGABKA-seed,IMOGABKA-seed,1.0
1286,IMOGABKA-seed,MOBKA,1.0
1286,IMOGABKA-seed,NSGA2,0.9836065573770492
1286,IMOGABKA-seed,NSGA3,0.9259259259259259
1286,IMOGABKA-seed,MOEAD,0.9032258064516129
1286,MOBKA,IMOGABKA-seed,0.0
1286,MOBKA,MOBKA,1.0
1286,MOBKA,NSGA2,0.0
1286,MOBKA,NSGA3,0.0
1286,MOBKA,MOEAD,0.0
1286,NSGA2,IMOGABKA-seed,0.0
1286,NSGA2,MOBKA,0.09090909090909091
1286,NSGA2,NSGA2,1.0
1286,NSGA2,NSGA3,0.2777777777777778
1286,NSGA2,MOEAD,0.5161290322580645
1286,NSGA3,IMOGABKA-seed,0.03125
1286,NSGA3,MOBKA,0.09090909090909091
1286,NSGA3,NSGA2,0.5409836065573771
1286,NSGA3,NSGA3,1.0
1286,NSGA3,MOEAD,0.6451612903225806
1286,MOEAD,IMOGABKA-seed,0.03125
1286,MOEAD,MOBKA,0.18181818181818182
1286,MOEAD,NSGA2,0.3114754098360656
1286,MOEAD,NSGA3,0.09259259259259259
1286,MOEAD,MOEAD,1.0
