sample_idx,algorithm_a,algorithm_b,coverage
1286,IMOGABKA-seed,IMOGABKA-seed,1.0
1286,IMOGABKA-seed,MOBKA,1.0
1286,IMOGABKA-seed,NSGA2,0.0
1286,IMOGABKA-seed,NSGA3,0.0
1286,IMOGABKA-seed,MOEAD,0.0
1286,MOBKA,IMOGABKA-seed,0.0
1286,MOBKA,MOBKA,1.0
1286,MOBKA,NSGA2,0.0
1286,MOBKA,NSGA3,0.0
1286,MOBKA,MOEAD,0.0
1286,NSGA2,IMOGABKA-seed,0.46875
1286,NSGA2,MOBKA,1.0
1286,NSGA2,NSGA2,1.0
1286,NSGA2,NSGA3,0.5151515151515151
1286,NSGA2,MOEAD,0.875
1286,NSGA3,IMOGABKA-seed,0.4479166666666667
1286,NSGA3,MOBKA,1.0
1286,NSGA3,NSGA2,0.22727272727272727
1286,NSGA3,NSGA3,1.0
1286,NSGA3,MOEAD,0.75
1286,MOEAD,IMOGABKA-seed,0.4166666666666667
1286,MOEAD,MOBKA,0.3333333333333333
1286,MOEAD,NSGA2,0.045454545454545456
1286,MOEAD,NSGA3,0.0
1286,MOEAD,MOEAD,1.0
