algorithm_a,algorithm_b,coverage_mean,coverage_median,coverage_std,runs
IMOGABKA-seed,IMOGABKA-seed,1.0,1.0,0.0,1
IMOGABKA-seed,MOBKA,1.0,1.0,0.0,1
IMOGABKA-seed,MOEAD,0.0,0.0,0.0,1
IMOGABKA-seed,NSGA2,0.0,0.0,0.0,1
IMOGABKA-seed,NSGA3,0.0,0.0,0.0,1
MOBKA,IMOGABKA-seed,0.0,0.0,0.0,1
MOBKA,MOBKA,1.0,1.0,0.0,1
MOBKA,MOEAD,0.0,0.0,0.0,1
MOBKA,NSGA2,0.0,0.0,0.0,1
MOBKA,NSGA3,0.0,0.0,0.0,1
MOEAD,IMOGABKA-seed,0.4166666666666667,0.4166666666666667,0.0,1
MOEAD,MOBKA,0.3333333333333333,0.3333333333333333,0.0,1
MOEAD,MOEAD,1.0,1.0,0.0,1
MOEAD,NSGA2,0.045454545454545456,0.045454545454545456,0.0,1
MOEAD,NSGA3,0.0,0.0,0.0,1
NSGA2,IMOGABKA-seed,0.46875,0.46875,0.0,1
NSGA2,MOBKA,1.0,1.0,0.0,1
NSGA2,MOEAD,0.875,0.875,0.0,1
NSGA2,NSGA2,1.0,1.0,0.0,1
NSGA2,NSGA3,0.5151515151515151,0.5151515151515151,0.0,1
NSGA3,IMOGABKA-seed,0.4479166666666667,0.4479166666666667,0.0,1
NSGA3,MOBKA,1.0,1.0,0.0,1
NSGA3,MOEAD,0.75,0.75,0.0,1
NSGA3,NSGA2,0.22727272727272727,0.22727272727272727,0.0,1
NSGA3,NSGA3,1.0,1.0,0.0,1
