station_index,lon,lat,choose_fee,slow,fast,ultra,total
15,113.79122485604105,22.784530421593846,360000.0,20,0,4,24
20,113.75435351086955,22.771903426630438,360000.0,20,0,4,24
26,113.7598174128441,22.780716189602465,360000.0,18,0,4,22
11,113.79097717016302,22.77949049417249,360000.0,0,16,4,20
16,113.75023046093746,22.78222249739584,360000.0,20,0,0,20
30,113.78053612538228,22.805801366972478,360000.0,20,0,0,20
48,113.78849562162162,22.772856335135145,360000.0,20,0,0,20
3,113.77601906608695,22.794335824347815,360000.0,0,15,4,19
12,113.78116051643192,22.78299201643192,360000.0,19,0,0,19
18,113.77183780810815,22.79029413783784,360000.0,19,0,0,19
41,113.76668063878319,22.771451524714827,360000.0,18,0,0,18
17,113.75349395733336,22.784863813333345,360000.0,0,16,0,16
31,113.76326131189701,22.786848045016093,360000.0,6,0,10,16
42,113.74753353199998,22.77435716400001,360000.0,0,16,0,16
0,113.78497455927067,22.79968125075988,360000.0,0,15,0,15
2,113.75554752284266,22.791794011844345,360000.0,15,0,0,15
8,113.76092022064783,22.79383627732793,360000.0,0,15,0,15
5,113.7589329826588,22.774667044316004,360000.0,0,10,4,14
13,113.77356220204602,22.78285093861892,360000.0,0,7,4,11
24,113.79021809195405,22.797031939655156,360000.0,0,0,10,10
29,113.77633549698798,22.80051475903615,360000.0,0,10,0,10
34,113.74710027759201,22.79446600668895,360000.0,0,0,10,10
1,113.76347406299219,22.775718601574813,360000.0,0,3,4,7
7,113.78257292031863,22.795202027888447,360000.0,0,3,4,7
22,113.78560795592281,22.782982170798878,360000.0,0,3,4,7
4,113.78609753531582,22.777742379182172,360000.0,0,0,4,4
21,113.76941660056663,22.785869818696874,360000.0,0,0,4,4
27,113.75232990361442,22.79625098795182,360000.0,0,0,4,4
39,113.77783463537914,22.777566162454885,360000.0,0,0,4,4
