station_index,lon,lat,choose_fee,slow,fast,ultra,total
4,113.78609753531582,22.777742379182172,360000.0,20,20,9,49
30,113.78053612538228,22.805801366972478,360000.0,20,20,8,48
7,113.78257292031863,22.795202027888447,360000.0,20,20,6,46
9,113.76547208033831,22.791146382663825,360000.0,15,20,9,44
27,113.75232990361442,22.79625098795182,360000.0,20,19,5,44
42,113.74753353199998,22.77435716400001,360000.0,17,20,7,44
22,113.78560795592281,22.782982170798878,360000.0,20,14,9,43
38,113.79202456521736,22.8056861847826,360000.0,19,14,10,43
10,113.78840472406169,22.807192611479007,360000.0,16,18,8,42
32,113.74971596815276,22.77799193949043,360000.0,20,18,4,42
40,113.78174273062726,22.773926523985242,360000.0,19,20,3,42
18,113.77183780810815,22.79029413783784,360000.0,13,17,9,39
26,113.7598174128441,22.780716189602465,360000.0,16,18,5,39
43,113.79093380932206,22.792687487288134,360000.0,10,20,9,39
46,113.78168796506554,22.81187500873364,360000.0,13,20,6,39
11,113.79097717016302,22.77949049417249,360000.0,11,17,9,37
49,113.74703592307691,22.812679820512827,360000.0,9,20,8,37
5,113.7589329826588,22.774667044316004,360000.0,18,13,5,36
8,113.76092022064783,22.79383627732793,360000.0,15,15,5,35
15,113.79122485604105,22.784530421593846,360000.0,20,9,6,35
25,113.78498206422019,22.78804099082569,360000.0,10,16,9,35
31,113.76326131189701,22.786848045016093,360000.0,11,16,8,35
1,113.76347406299219,22.775718601574813,360000.0,14,14,6,34
44,113.74836722746781,22.799091643776812,360000.0,13,15,6,34
0,113.78497455927067,22.79968125075988,360000.0,14,11,6,31
23,113.77233379310341,22.77863279310345,360000.0,18,5,7,30
12,113.78116051643192,22.78299201643192,360000.0,14,9,6,29
16,113.75023046093746,22.78222249739584,360000.0,13,11,5,29
21,113.76941660056663,22.785869818696874,360000.0,4,18,7,29
41,113.76668063878319,22.771451524714827,360000.0,12,11,6,29
6,113.79119462451365,22.811899643968864,360000.0,12,7,9,28
14,113.79015493633952,22.7892891883289,360000.0,20,2,6,28
39,113.77783463537914,22.777566162454885,360000.0,12,9,7,28
45,113.7798893257918,22.78913607239818,360000.0,10,10,8,28
48,113.78849562162162,22.772856335135145,360000.0,5,17,6,28
3,113.77601906608695,22.794335824347815,360000.0,7,14,6,27
19,113.77494738648649,22.787926202702717,360000.0,8,12,7,27
20,113.75435351086955,22.771903426630438,360000.0,14,6,7,27
29,113.77633549698798,22.80051475903615,360000.0,17,7,3,27
36,113.74959719047621,22.788895812925166,360000.0,13,8,6,27
24,113.79021809195405,22.797031939655156,360000.0,16,5,5,26
2,113.75554752284266,22.791794011844345,360000.0,7,8,10,25
37,113.76631079787221,22.79438910992908,360000.0,6,13,6,25
13,113.77356220204602,22.78285093861892,360000.0,7,10,7,24
17,113.75349395733336,22.784863813333345,360000.0,4,15,5,24
35,113.76358937024206,22.779992671280283,360000.0,10,7,6,23
28,113.77161181651377,22.795424287461778,360000.0,5,8,9,22
34,113.74710027759201,22.79446600668895,360000.0,0,14,8,22
47,113.77580128708135,22.772293047846894,360000.0,11,5,5,21
33,113.75651373650793,22.7965692031746,360000.0,10,2,8,20
